class	hydrophobicity_score
Sterol	48.6
Sterol	52.1
Sterol	55.75
Sterol	70.0
Sterol	21.9
Sterol	24.1
Sterol	36.33
Sterol	30.32
Sterol	24.22
Sterol	54.33
Sterol	22.92
Sterol	50.75
Sterol	45.88
Sterol	43.46
Sterol	19.14
Sterol	44.08
Sterol	39.0
Sterol	97.0
Sterol	76.36
Sterol	63.6
Sterol	42.04
Sterol	53.62
Sterol	31.1
Sterol	65.0
Sterol	54.08
Sterol	39.0
Sterol	34.4
Sterol	55.0
Sterol	37.09
Sterol	49.4
Sterol	16.05
Sterol	100.0
Sterol	77.5
Sterol	36.71
Sterol	68.64
Sterol	55.75
Sterol	20.96
Sterol	60.58
Sterol	64.67
Sterol	20.75
Sterol	60.0
Sterol	59.45
Sterol	20.12
Sterol	57.0
Sterol	69.0
Sterol	53.4
Sterol	34.4
Sterol	3.14
Sterol	20.83
Sterol	50.94
Sterol	66.82
Sterol	62.07
Sterol	67.38
Sterol	32.25
Sterol	0.0
Sterol	34.4
Sterol	79.84
Sterol	48.67
Sterol	44.12
Sterol	72.06
Sterol	49.0
Sterol	73.92
Sterol	49.82
Sterol	74.86
Sterol	47.58
Sterol	4.8
Sterol	47.92
Sterol	64.91
Sterol	46.09
Sterol	12.27
Sterol	67.62
Sterol	24.2
Sterol	60.75
Sterol	17.56
Sterol	62.0
Sterol	30.0
Sterol	50.17
Sterol	67.0
Sterol	54.12
Sterol	31.0
Sterol	58.0
Sterol	50.0
Sterol	97.0
Sterol	60.75
Sterol	64.69
Sterol	38.83
Sterol	68.89
Sterol	31.2
Sterol	48.36
Sterol	62.0
Sterol	72.11
Sterol	52.14
Sterol	38.83
Sterol	52.4
Sterol	48.44
Sterol	98.67
Sterol	68.0
Sterol	61.62
Sterol	57.79
Sterol	82.73
Sterol	45.4
Sterol	98.67
Sterol	51.57
Sterol	54.45
Sterol	91.86
Sterol	75.62
Sterol	49.21
Sterol	63.96
Sterol	22.6
Sterol	63.15
Sterol	61.35
Sterol	24.0
Sterol	64.86
Sterol	67.5
Sterol	65.09
Sterol	54.7
Sterol	46.6
Sterol	56.19
Sterol	66.0
Sterol	48.48
Sterol	60.87
Sterol	75.14
Sterol	35.64
Sterol	66.25
Sterol	51.12
Sterol	56.5
Sterol	44.0
Sterol	66.95
Sterol	72.0
Sterol	16.0
Sterol	87.0
Sterol	53.33
Sterol	58.5
Sterol	97.67
Sterol	66.25
Sterol	51.92
Sterol	68.81
Sterol	83.0
Sterol	20.83
Sterol	26.88
Sterol	16.0
Sterol	39.17
Sterol	50.13
Sterol	42.5
Sterol	49.04
Sterol	31.1
Sterol	10.9
Sterol	63.56
Sterol	34.4
Sterol	50.64
Sterol	17.33
Sterol	36.86
Sterol	47.83
Sterol	52.25
Sterol	74.88
Sterol	38.77
Sterol	88.8
Sterol	7.5
Sterol	58.34
Sterol	49.57
Sterol	62.0
Sterol	29.95
Sterol	50.0
Sterol	33.45
Sterol	66.53
Sterol	41.29
Sterol	13.8
Sterol	56.0
Sterol	49.57
Sterol	40.42
Sterol	77.33
Sterol	50.0
Sterol	65.29
Sterol	-7.0
Sterol	56.94
Sterol	38.87
Sterol	92.0
Sterol	13.12
Sterol	54.57
Sterol	53.57
Sterol	57.8
Sterol	36.0
Sterol	23.25
Sterol	28.82
Sterol	40.5
Sterol	35.09
Sterol	57.21
Sterol	36.0
Sterol	53.57
Sterol	32.83
Sterol	67.0
Sterol	5.2
Sterol	56.18
Sterol	58.56
Sterol	52.62
Sterol	42.0
Sterol	39.77
Sterol	45.68
Sterol	98.67
